Date,Rainfall,Groundwater,Min_Temp,Max_Temp,Cluster_Labels
2021-01-01,-0.23369421680727015,-1.2373406947406673,-1.6318059374583347,-1.664473236421618,0
2021-01-02,0.038512583713643335,-1.2120596961342118,-1.6318059374583347,-1.964924396236905,0
2021-01-03,-0.23369421680727015,-1.1965952554972847,-0.8031601981822608,-1.664473236421618,0
2021-01-04,-0.16888307382610027,-1.2076220740383976,-0.8031601981822608,-1.664473236421618,0
2021-01-05,9.073185915288724,-0.9586221675510593,-0.3888373285442238,-1.664473236421618,1
2021-01-06,0.71254847071781,-0.8713489330000527,-0.8031601981822608,-1.964924396236905,0
2021-01-07,-0.05222301645999451,-0.8297966533756131,-0.8031601981822608,-1.664473236421618,0
2021-01-08,-0.23369421680727015,-0.8023192559540578,-0.8031601981822608,-1.3640220766063311,0
2021-01-09,-0.23369421680727015,-0.7854204324174732,-0.3888373285442238,-1.3640220766063311,0
2021-01-10,-0.23369421680727015,-0.7836722782585162,-0.3888373285442238,-1.3640220766063311,0
2021-01-11,-0.23369421680727015,-0.7808483369248164,-0.3888373285442238,-1.3640220766063311,0
2021-01-12,-0.23369421680727015,-0.7752901031886453,-0.3888373285442238,-1.3640220766063311,0
2021-01-13,-0.23369421680727015,-0.7731833533047741,-0.3888373285442238,-1.3640220766063311,0
2021-01-14,-0.23369421680727015,-0.7289864302090918,-0.8031601981822608,-1.3640220766063311,0
2021-01-15,-0.23369421680727015,-0.7147770746093638,-0.8031601981822608,-1.3640220766063311,0
2021-01-16,-0.23369421680727015,-0.713566814037778,-0.8031601981822608,-1.063570916791044,0
2021-01-17,-0.23369421680727015,-0.7076948090423074,-0.8031601981822608,-1.063570916791044,0
2021-01-18,-0.23369421680727015,-0.7193043456364067,-0.8031601981822608,-1.664473236421618,0
2021-01-19,-0.23369421680727015,-0.717959611667979,-1.2174830678202977,-1.664473236421618,0
2021-01-20,-0.23369421680727015,-0.722307584832563,-0.8031601981822608,-1.3640220766063311,0
2021-01-21,-0.23369421680727015,-0.7327068608550771,-0.8031601981822608,-0.7631197569757571,0
2021-01-22,-0.23369421680727015,-0.7460645516081336,-0.8031601981822608,-1.063570916791044,0
2021-01-23,-0.23369421680727015,-0.7610359231233039,-0.8031601981822608,-0.7631197569757571,0
2021-01-24,-0.23369421680727015,-0.747140338782875,-1.2174830678202977,-0.7631197569757571,0
2021-01-25,-0.23369421680727015,-0.845036971684468,-1.2174830678202977,-0.7631197569757571,0
2021-01-26,-0.23369421680727015,-0.7478127057670907,-1.6318059374583347,-1.063570916791044,0
2021-01-27,-0.23369421680727015,-0.7631426730071759,-1.6318059374583347,-1.063570916791044,0
2021-01-28,-0.23369421680727015,-0.7649356516317464,-0.8031601981822608,-1.3640220766063311,0
2021-01-29,-0.23369421680727015,-0.778651938109717,-0.8031601981822608,-1.3640220766063311,0
2021-01-30,-0.23369421680727015,-0.7769486084163727,-1.6318059374583347,-1.3640220766063311,0
2021-01-31,-0.23369421680727015,-0.7975230381333293,-1.6318059374583347,-1.063570916791044,0
2021-02-01,-0.23369421680727015,-0.813077127701485,-0.8031601981822608,-1.3640220766063311,0
2021-02-02,-0.02629855926752654,-0.8016020645042294,-1.2174830678202977,-1.3640220766063311,0
2021-02-03,-0.22073198821103615,-0.7973885647364873,-0.8031601981822608,-1.3640220766063311,0
2021-02-04,-0.23369421680727015,-0.811194500145686,-2.046128807096372,-1.3640220766063311,0
2021-02-05,-0.23369421680727015,-0.8270623609731413,-2.046128807096372,-1.3640220766063311,0
2021-02-06,-0.23369421680727015,-0.8227592122741707,-1.6318059374583347,-1.3640220766063311,0
2021-02-07,-0.23369421680727015,-0.8483539821399263,-1.6318059374583347,-1.3640220766063311,0
2021-02-08,-0.23369421680727015,-0.8731419116246237,-1.6318059374583347,-1.3640220766063311,0
2021-02-09,-0.23369421680727015,-0.8818826824194094,-1.2174830678202977,-1.3640220766063311,0
2021-02-10,-0.23369421680727015,-0.8869926714994357,-2.046128807096372,-1.3640220766063311,0
2021-02-11,-0.23369421680727015,-0.8997228197338929,-1.6318059374583347,-1.063570916791044,0
2021-02-12,-0.23369421680727015,-0.9038914950360204,-1.2174830678202977,-1.3640220766063311,0
2021-02-13,-0.23369421680727015,-0.9183249729638201,-2.046128807096372,-1.063570916791044,0
2021-02-14,-0.23369421680727015,-0.9008882558398648,-2.046128807096372,-0.7631197569757571,0
2021-02-15,-0.23369421680727015,-0.9046535109514641,-2.046128807096372,-1.063570916791044,0
